"genome","array_size","following_spacing_size"
"R_holoschoenoides_hap1_chr",70025,475294
"R_holoschoenoides_hap1_chr",8916,480691
"R_holoschoenoides_hap1_chr",17794,321798
"R_holoschoenoides_hap1_chr",9845,355985
"R_holoschoenoides_hap1_chr",1117,207450
"R_holoschoenoides_hap1_chr",12820,347132
"R_holoschoenoides_hap1_chr",4121,250361
"R_holoschoenoides_hap1_chr",4341,273413
"R_holoschoenoides_hap1_chr",14680,463148
"R_holoschoenoides_hap1_chr",1351,260869
"R_holoschoenoides_hap1_chr",12627,623766
"R_holoschoenoides_hap1_chr",15782,520483
"R_holoschoenoides_hap1_chr",47638,558450
"R_holoschoenoides_hap1_chr",12296,678651
"R_holoschoenoides_hap1_chr",18206,694509
"R_holoschoenoides_hap1_chr",119863,458805
"R_holoschoenoides_hap1_chr",34305,462941
"R_holoschoenoides_hap1_chr",844,114983
"R_holoschoenoides_hap1_chr",26770,358884
"R_holoschoenoides_hap1_chr",16725,486160
"R_holoschoenoides_hap1_chr",46790,353803
"R_holoschoenoides_hap1_chr",10286,1106841
"R_holoschoenoides_hap1_chr",7090,277632
"R_holoschoenoides_hap1_chr",19744,429501
"R_holoschoenoides_hap1_chr",14073,444556
"R_holoschoenoides_hap1_chr",11397,327088
"R_holoschoenoides_hap1_chr",8045,576211
"R_holoschoenoides_hap1_chr",12697,440532
"R_holoschoenoides_hap1_chr",37654,171454
"R_holoschoenoides_hap1_chr",26971,655430
"R_holoschoenoides_hap1_chr",18318,723341
"R_holoschoenoides_hap1_chr",10490,804781
"R_holoschoenoides_hap1_chr",7374,342613
"R_holoschoenoides_hap1_chr",21427,431936
"R_holoschoenoides_hap1_chr",24424,327300
"R_holoschoenoides_hap1_chr",1540,611280
"R_holoschoenoides_hap1_chr",4464,85425
"R_holoschoenoides_hap1_chr",26584,330962
"R_holoschoenoides_hap1_chr",2669,656718
"R_holoschoenoides_hap1_chr",16232,294866
"R_holoschoenoides_hap1_chr",5015,364763
"R_holoschoenoides_hap1_chr",41719,398754
"R_holoschoenoides_hap1_chr",11681,483211
"R_holoschoenoides_hap1_chr",26519,806197
"R_holoschoenoides_hap1_chr",27192,308536
"R_holoschoenoides_hap1_chr",3670,587548
"R_holoschoenoides_hap1_chr",23797,90447
"R_holoschoenoides_hap1_chr",752,406138
"R_holoschoenoides_hap1_chr",9281,306045
"R_holoschoenoides_hap1_chr",22990,752669
"R_holoschoenoides_hap1_chr",43566,664472
"R_holoschoenoides_hap1_chr",6316,562343
"R_holoschoenoides_hap1_chr",1262,684732
"R_holoschoenoides_hap1_chr",16467,308864
"R_holoschoenoides_hap1_chr",28176,547701
"R_holoschoenoides_hap1_chr",12244,627230
"R_holoschoenoides_hap1_chr",26800,93651
"R_holoschoenoides_hap1_chr",2563,309943
"R_holoschoenoides_hap1_chr",7203,471923
"R_holoschoenoides_hap1_chr",9024,915573
"R_holoschoenoides_hap1_chr",7923,NA
"R_holoschoenoides_hap1_chr",707,1674554
"R_holoschoenoides_hap1_chr",58273,462180
"R_holoschoenoides_hap1_chr",1734,207547
"R_holoschoenoides_hap1_chr",23962,252417
"R_holoschoenoides_hap1_chr",25505,264956
"R_holoschoenoides_hap1_chr",31768,687352
"R_holoschoenoides_hap1_chr",30773,1077434
"R_holoschoenoides_hap1_chr",14952,396411
"R_holoschoenoides_hap1_chr",33254,601892
"R_holoschoenoides_hap1_chr",33502,300486
"R_holoschoenoides_hap1_chr",3760,370938
"R_holoschoenoides_hap1_chr",26323,328447
"R_holoschoenoides_hap1_chr",12172,452804
"R_holoschoenoides_hap1_chr",48346,526890
"R_holoschoenoides_hap1_chr",25543,662513
"R_holoschoenoides_hap1_chr",2826,246863
"R_holoschoenoides_hap1_chr",25911,95378
"R_holoschoenoides_hap1_chr",8187,664323
"R_holoschoenoides_hap1_chr",11034,122362
"R_holoschoenoides_hap1_chr",8286,297405
"R_holoschoenoides_hap1_chr",4332,588226
"R_holoschoenoides_hap1_chr",26381,433686
"R_holoschoenoides_hap1_chr",5351,73270
"R_holoschoenoides_hap1_chr",14006,834631
"R_holoschoenoides_hap1_chr",28670,185393
"R_holoschoenoides_hap1_chr",4211,686486
"R_holoschoenoides_hap1_chr",2905,291937
"R_holoschoenoides_hap1_chr",20153,1087001
"R_holoschoenoides_hap1_chr",30270,352971
"R_holoschoenoides_hap1_chr",7157,268179
"R_holoschoenoides_hap1_chr",6689,111922
"R_holoschoenoides_hap1_chr",32819,275537
